step,system_mean_speed,0_average_speed,0_queue_length
278.0,"(8.605032542122483,)",0.4023431012784088,8
279.0,"(9.022618158031717,)",0.42378402218102884,8
281.0,"(7.631518197822973,)",0.3680540355317783,13
282.0,"(7.557317673226951,)",0.359157977473559,10
283.0,"(7.819446563809771,)",0.37464529352161335,10
284.0,"(8.003753687173278,)",0.37801289204977884,10
285.0,"(8.211257652196247,)",0.3885555581201649,11
286.0,"(8.279831396165937,)",0.3804835502665441,11
287.0,"(8.002530384142984,)",0.36919751297639564,11
288.0,"(7.724195911486511,)",0.3607796386254792,11
289.0,"(6.817496200190059,)",0.318582247679189,15
291.0,"(6.515121830933687,)",0.3182787952331017,8
292.0,"(6.797425527449852,)",0.33543443297065206,8
293.0,"(7.146750193695749,)",0.35388923915036263,7
294.0,"(7.2849607636486144,)",0.38739080717636903,7
295.0,"(7.442880751665263,)",0.38106125759832665,7
296.0,"(7.7112961376814555,)",0.3641936868357354,7
297.0,"(7.97726869839609,)",0.3873411375987138,7
298.0,"(7.947677759859946,)",0.38424737623688515,9
299.0,"(7.6794039256875575,)",0.36844964691037413,9
301.0,"(6.546970193526063,)",0.30933868356907485,13
302.0,"(6.207116347099533,)",0.28890071804648365,11
303.0,"(6.078638635070713,)",0.28341948663613215,10
304.0,"(5.5221188934008945,)",0.25683667023930357,12
305.0,"(5.22388197686084,)",0.24885619890350938,9
306.0,"(5.648841336946801,)",0.2747116505658924,7
307.0,"(6.418167651436969,)",0.3180828036472138,6
308.0,"(6.754517039544251,)",0.3422304816341003,5
309.0,"(7.73189436997323,)",0.4073124000010125,5
311.0,"(9.60249521934769,)",0.48201770356807583,5
312.0,"(10.49551241982625,)",0.5204986644468292,5
313.0,"(10.353971710878108,)",0.5011602066154609,7
314.0,"(10.936211981161602,)",0.5277804315219098,8
315.0,"(10.95636807344232,)",0.527671274251615,8
316.0,"(10.768258719171941,)",0.5211753957467389,8
317.0,"(10.31142073561068,)",0.49540359521660376,8
318.0,"(10.06757483925415,)",0.48498980199286823,8
319.0,"(9.864146378471828,)",0.4749723778320012,8
321.0,"(7.33469605848843,)",0.35253305180614997,7
322.0,"(6.758567276429319,)",0.33081247029384014,3
323.0,"(6.85069363803621,)",0.33600201685315595,3
324.0,"(6.4297284110709825,)",0.34337941638007197,5
325.0,"(6.044278808268978,)",0.30823627254283664,5
326.0,"(6.370803030824332,)",0.3002099799345001,3
327.0,"(6.183156120699132,)",0.29291247251425395,5
328.0,"(7.092966788925656,)",0.3354152054377432,4
329.0,"(7.413711791934817,)",0.34802542483816623,6
331.0,"(9.041660625167417,)",0.40659805104886015,7
332.0,"(9.942124729701414,)",0.44747963758157244,9
333.0,"(10.003755337909707,)",0.4578484196172863,9
334.0,"(10.287651436963518,)",0.4683983953044073,9
335.0,"(10.22537187113182,)",0.4715105650462407,6
336.0,"(10.817599266107168,)",0.49870857246585193,5
337.0,"(9.176179342787655,)",0.42401504237222504,9
338.0,"(9.426847951394366,)",0.43328706008202883,5
339.0,"(9.636237192816978,)",0.44434873315815343,5
341.0,"(9.02648113404541,)",0.4148446502175268,9
342.0,"(9.079498907441609,)",0.4172468334643607,5
