step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
780.0,3,89.0,8.090909090909092,10.221760745658617,3,118.0,0.04771014203068699,3,118.0,False,,
785.0,2,65.0,5.0,8.056961844129406,2,94.0,0.2485843969133429,2,94.0,False,,
790.0,3,80.0,6.666666666666667,9.850673982657531,3,109.0,0.05214607223251192,3,109.0,False,,
795.0,4,98.0,9.8,9.036369875172714,4,127.0,0.16454019076938395,4,127.0,False,,
800.0,5,123.0,13.666666666666666,4.51496703654615,5,152.0,0.0774942145024133,5,152.0,False,,
805.0,4,135.0,19.285714285714285,0.26408674331253523,4,164.0,0.0051307325806900115,4,164.0,False,,
810.0,6,163.0,23.285714285714285,1.3630829285254187,6,192.0,0.0,6,192.0,False,,
815.0,5,128.0,21.333333333333332,0.2000054919188555,5,157.0,0.0,5,157.0,False,,
820.0,2,50.0,5.0,4.256220205338725,2,111.0,0.0821600290962733,2,111.0,False,,
825.0,2,60.0,6.666666666666667,8.413658263778043,2,121.0,0.009226485228788436,2,121.0,False,,
830.0,4,78.0,9.75,9.046654746434346,4,139.0,0.0,4,139.0,False,,
835.0,3,48.0,6.0,6.823252825880012,3,80.0,0.32539818847817387,3,80.0,False,,
840.0,2,28.0,4.0,2.1047779198946492,2,60.0,0.06901941746695112,2,60.0,False,,
845.0,3,25.0,2.5,3.890858992044825,3,36.0,0.0033742763271771403,3,36.0,False,,
850.0,2,17.0,1.8888888888888888,9.447308742790872,2,13.0,0.06734300688598926,2,13.0,False,,
855.0,2,27.0,3.0,11.687738406506606,2,23.0,0.004837900388757299,2,23.0,False,,
860.0,3,42.0,6.0,7.659186777415518,3,38.0,0.14258645716285692,3,38.0,False,,
865.0,6,33.0,3.6666666666666665,0.23972445514448637,2,33.0,0.011898327574801632,2,33.0,False,,
870.0,4,51.0,5.666666666666667,6.108500220252071,4,51.0,0.0,4,51.0,False,,
875.0,3,61.0,7.625,9.864557841572212,3,61.0,0.0,3,61.0,False,,
880.0,3,76.0,9.5,9.258691720216666,3,76.0,0.2492568179465296,3,76.0,False,,
885.0,3,91.0,15.166666666666666,2.7510597764869806,3,91.0,0.1370946323695558,3,91.0,False,,
890.0,3,106.0,17.666666666666668,2.5331474786909953,3,106.0,0.0067408027731713045,3,106.0,False,,
895.0,5,129.0,25.8,0.0,5,129.0,0.0,5,129.0,False,,
900.0,5,154.0,30.8,0.0,5,154.0,0.0,5,154.0,False,,
905.0,6,129.0,9.923076923076923,2.5666641404053703,4,129.0,0.0,4,129.0,False,,
910.0,2,88.0,6.769230769230769,10.292129913780602,2,102.0,0.058563227943424896,2,102.0,False,,
